GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
AFTAS_Backend,com.youcode.aftas_backend.services.Impl,FishServiceImpl,178,0,4,0,31,0,14,0,12,0
AFTAS_Backend,com.youcode.aftas_backend.services.Impl,HuntingServiceImpl,249,0,20,0,43,0,18,0,8,0
AFTAS_Backend,com.youcode.aftas_backend.services.Impl,RankingServiceImpl,217,55,10,4,43,8,16,3,10,2
AFTAS_Backend,com.youcode.aftas_backend.services.Impl,MemberServiceImpl,95,0,0,0,14,0,9,0,9,0
AFTAS_Backend,com.youcode.aftas_backend.services.Impl,CompetitionServiceImpl,274,0,8,0,45,0,19,0,15,0
AFTAS_Backend,com.youcode.aftas_backend.services.Impl,LevelServiceImpl,118,157,17,1,19,26,12,10,3,10
AFTAS_Backend,com.youcode.aftas_backend.models.embeddables,CompetitionMember.CompetitionMemberBuilder,6,21,0,0,0,1,1,4,1,4
AFTAS_Backend,com.youcode.aftas_backend.models.embeddables,CompetitionMember,17,13,0,0,4,2,5,2,5,2
AFTAS_Backend,com.youcode.aftas_backend.models.dto.fish,FishDtoResponse,168,0,30,0,6,0,27,0,12,0
AFTAS_Backend,com.youcode.aftas_backend.models.dto.fish,FishDto.FishDtoBuilder,36,0,0,0,1,0,6,0,6,0
AFTAS_Backend,com.youcode.aftas_backend.models.dto.fish,FishDto,171,0,30,0,7,0,28,0,13,0
AFTAS_Backend,com.youcode.aftas_backend.models.dto.competetion,CompetitionDto,70,30,0,0,10,3,13,8,13,8
AFTAS_Backend,com.youcode.aftas_backend.models.dto.competetion,CompetitionDto.CompetitionDtoBuilder,95,0,0,0,1,0,12,0,12,0
AFTAS_Backend,com.youcode.aftas_backend.models.dto.competetion,CompetitionHuntDto,46,0,0,0,7,0,10,0,10,0
AFTAS_Backend,com.youcode.aftas_backend.models.dto.hunting,SingleHuntDto,60,0,0,0,9,0,13,0,13,0
AFTAS_Backend,com.youcode.aftas_backend.models.dto.hunting,HuntFishNbrDto,58,0,8,0,3,0,11,0,7,0
AFTAS_Backend,com.youcode.aftas_backend.models.dto.hunting,SingleHuntDto.SingleHuntDtoBuilder,57,0,0,0,1,0,8,0,8,0
AFTAS_Backend,com.youcode.aftas_backend.models.dto.hunting,SpecificHuntDto,98,0,16,0,4,0,17,0,9,0
AFTAS_Backend,com.youcode.aftas_backend.models.dto.hunting,HuntingDto,50,0,0,0,8,0,11,0,11,0
AFTAS_Backend,com.youcode.aftas_backend.models.dto.hunting,HuntingDto.HuntingDtoBuilder,45,0,0,0,1,0,7,0,7,0
AFTAS_Backend,com.youcode.aftas_backend.configuration,CorsFilterConfig,156,0,0,0,10,0,2,0,2,0
AFTAS_Backend,com.youcode.aftas_backend.configuration,ValidationException,64,0,0,0,17,0,6,0,6,0
AFTAS_Backend,com.youcode.aftas_backend.configuration,MapperConfig,7,0,0,0,2,0,2,0,2,0
AFTAS_Backend,com.youcode.aftas_backend.exceptions,ResourceNotFoundException,0,4,0,0,0,2,0,1,0,1
AFTAS_Backend,com.youcode.aftas_backend.exceptions,PointsValidationException,4,0,0,0,2,0,1,0,1,0
AFTAS_Backend,com.youcode.aftas_backend,AftasBackendApplication,8,0,0,0,3,0,2,0,2,0
AFTAS_Backend,com.youcode.aftas_backend.models.enums,IdentityDocumentType,0,21,0,0,0,4,0,1,0,1
AFTAS_Backend,com.youcode.aftas_backend.controllers,HuntingController,76,0,0,0,17,0,7,0,7,0
AFTAS_Backend,com.youcode.aftas_backend.controllers,RankingController,50,0,0,0,10,0,4,0,4,0
AFTAS_Backend,com.youcode.aftas_backend.controllers,MemberController,24,0,0,0,3,0,3,0,3,0
AFTAS_Backend,com.youcode.aftas_backend.controllers,CompetitionController,52,0,0,0,8,0,5,0,5,0
AFTAS_Backend,com.youcode.aftas_backend.controllers,LevelController,3,0,0,0,1,0,1,0,1,0
AFTAS_Backend,com.youcode.aftas_backend.controllers,FishController,64,0,0,0,14,0,6,0,6,0
AFTAS_Backend,com.youcode.aftas_backend.models.dto,LevelDto,141,26,28,2,3,3,21,6,6,6
AFTAS_Backend,com.youcode.aftas_backend.models.dto,RankingDto,41,19,0,0,7,2,8,5,8,5
AFTAS_Backend,com.youcode.aftas_backend.models.dto,RankingDto.RankingDtoBuilder,57,0,0,0,1,0,8,0,8,0
AFTAS_Backend,com.youcode.aftas_backend.superClasses,Controller,74,0,0,0,15,0,7,0,7,0
AFTAS_Backend,com.youcode.aftas_backend.models.dto.Member,MemberDto,90,0,0,0,12,0,19,0,19,0
AFTAS_Backend,com.youcode.aftas_backend.models.dto.Member,MemberDto.MemberDtoBuilder,84,0,0,0,1,0,11,0,11,0
AFTAS_Backend,com.youcode.aftas_backend.models.entities,Member.MemberBuilder,34,60,0,0,0,1,3,9,3,9
AFTAS_Backend,com.youcode.aftas_backend.models.entities,Competition,66,34,0,0,11,2,19,2,19,2
AFTAS_Backend,com.youcode.aftas_backend.models.entities,Ranking,31,29,0,0,5,4,9,4,9,4
AFTAS_Backend,com.youcode.aftas_backend.models.entities,Hunting,204,22,34,0,7,2,32,2,15,2
AFTAS_Backend,com.youcode.aftas_backend.models.entities,Fish,31,19,0,0,6,2,9,2,9,2
AFTAS_Backend,com.youcode.aftas_backend.models.entities,Hunting.HuntingBuilder,30,27,0,0,0,1,4,4,4,4
AFTAS_Backend,com.youcode.aftas_backend.models.entities,Fish.FishBuilder,27,20,0,0,0,1,4,3,4,3
AFTAS_Backend,com.youcode.aftas_backend.models.entities,Ranking.RankingBuilder,20,37,0,0,0,1,2,6,2,6
AFTAS_Backend,com.youcode.aftas_backend.models.entities,Competition.CompetitionBuilder,40,55,0,0,0,1,4,8,4,8
AFTAS_Backend,com.youcode.aftas_backend.models.entities,Member,66,34,0,0,11,2,19,2,19,2
AFTAS_Backend,com.youcode.aftas_backend.models.entities,Level,28,22,0,0,5,3,8,3,8,3
AFTAS_Backend,com.youcode.aftas_backend.models.entities,Level.LevelBuilder,16,30,0,0,0,1,2,5,2,5
